index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations,prompt,ai_guess
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"Sounds and looks delicious! I did smile at the 15-minute prep time though, it took me nearly that long just to read through the recipe.",comment,32218636,55,"

Here's a comment from NYT Cooking:Sounds and looks delicious! I did smile at the 15-minute prep time though, it took me nearly that long just to read through the recipe.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_flawed_due_to_cooking_time
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"I’m not a cake baker. I carefully followed the ingredient list and day long steps which resulted  in a stunning (I’ll say stunning again) crowd pleaser. I’d consider not using the glaze so that it’s more like what’s served in restaurants in Rome, Italy. This Baba Rum Cake is a perfect holiday dessert that I will make again and again.",comment,16885269,26,"

Here's a comment from NYT Cooking:I’m not a cake baker. I carefully followed the ingredient list and day long steps which resulted  in a stunning (I’ll say stunning again) crowd pleaser. I’d consider not using the glaze so that it’s more like what’s served in restaurants in Rome, Italy. This Baba Rum Cake is a perfect holiday dessert that I will make again and again.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"I highly recommend straining the glaze for the savarin once you have heated the jam, it goes on much more smoothly.",comment,58820584,23,"

Here's a comment from NYT Cooking:I highly recommend straining the glaze for the savarin once you have heated the jam, it goes on much more smoothly.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),could you please clarify how to make the cake ahead of time and at what step to pause? e.g. would I keep it in the pan and poke holes/add syrup when it is time to serve?,comment,73604019,11,"

Here's a comment from NYT Cooking:could you please clarify how to make the cake ahead of time and at what step to pause? e.g. would I keep it in the pan and poke holes/add syrup when it is time to serve?

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"I made this for Christmas Day and everyone loved it! We have a summer Christmas (I'm in Perth, Australia) and is was not too heavy at all, even on the exceedingly hot day we had. The chantilly cream is the perfect accompaniment. It's always a risk to make something you haven't made before for a family celebration but I followed the recipe and it turned out beautifully.",comment,270468370,9,"

Here's a comment from NYT Cooking:I made this for Christmas Day and everyone loved it! We have a summer Christmas (I'm in Perth, Australia) and is was not too heavy at all, even on the exceedingly hot day we had. The chantilly cream is the perfect accompaniment. It's always a risk to make something you haven't made before for a family celebration but I followed the recipe and it turned out beautifully.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_made_as_written
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),Followed the recipe exactly as written.   Delicious!,comment,47263456,4,"

Here's a comment from NYT Cooking:Followed the recipe exactly as written.   Delicious!

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_made_as_written
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),I have made Babas before and will try this one for New Year’s Eve. For a more boozy sirup don’t boil the rhum - wait with adding the rhum until the rest of the sirup had cooled  down.,comment,161154610,3,"

Here's a comment from NYT Cooking:I have made Babas before and will try this one for New Year’s Eve. For a more boozy sirup don’t boil the rhum - wait with adding the rhum until the rest of the sirup had cooled  down.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),"The recipe is easy to follow and not difficult at all.  The result is surprisingly un-boozy.  
In my family, we have The Three Questions:  1.  Is it good?   2. Worth making again?  3.  Worth making for company? 
Yes, yes, and yes!",comment,76310533,3,"

Here's a comment from NYT Cooking:The recipe is easy to follow and not difficult at all.  The result is surprisingly un-boozy.  
In my family, we have The Three Questions:  1.  Is it good?   2. Worth making again?  3.  Worth making for company? 
Yes, yes, and yes!

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_made_as_written
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),No notes. This was the best cake I've ever made.,comment,79919654,3,"

Here's a comment from NYT Cooking:No notes. This was the best cake I've ever made.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_made_as_written
0,Lisa Donovan,https://cooking.nytimes.com/recipes/1027595-baba-au-rhum-savarin,Baba au Rhum Savarin Recipe,5(39),Where do you get such a fancy mold ?  the ones I saw are all plain with just a circle hole.,comment,86392791,2,"

Here's a comment from NYT Cooking:Where do you get such a fancy mold ?  the ones I saw are all plain with just a circle hole.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
