index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations,prompt,ai_guess
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"Completely agree w using fresh garlic, which makes this dish seasonal. Garlic is being harvested now in late june and over the next few weeks in the mid-altantic states depending on the varietal and available at farmers market (if you don't grow it yourself). The skins are not dried yet, and the bulbs are juicy, a revelation if you never had it. It's a perfect use for aglio and olio pasta or any dish where you want the garlic to shine.",comment,168191546,33,"

Here's a comment from NYT Cooking:Completely agree w using fresh garlic, which makes this dish seasonal. Garlic is being harvested now in late june and over the next few weeks in the mid-altantic states depending on the varietal and available at farmers market (if you don't grow it yourself). The skins are not dried yet, and the bulbs are juicy, a revelation if you never had it. It's a perfect use for aglio and olio pasta or any dish where you want the garlic to shine.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",user_responding_to_other_user
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"One suggestion is to use a Cocozelle zucchini, if you can find it.  It’s an Italian heirloom variety.  It has a nice flavor (in contrast to other zucchinis).  I’ve grown it for several years here in Maine.",comment,64766379,28,"

Here's a comment from NYT Cooking:One suggestion is to use a Cocozelle zucchini, if you can find it.  It’s an Italian heirloom variety.  It has a nice flavor (in contrast to other zucchinis).  I’ve grown it for several years here in Maine.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"Chiles de Arbol have a Scoville rating of 15,000 – 30,000 (compare Jalapenos, 2,500 – 8,000. Not exactly mild, epecially if you use four of them in this recipe, unseeded. (Guajillos, at 2,500-5,000, ARE mild.)",comment,96369919,24,"

Here's a comment from NYT Cooking:Chiles de Arbol have a Scoville rating of 15,000 – 30,000 (compare Jalapenos, 2,500 – 8,000. Not exactly mild, epecially if you use four of them in this recipe, unseeded. (Guajillos, at 2,500-5,000, ARE mild.)

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_flawed_due_to_flavor
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"Suggest tossing unsalted thick zucchini slices or batons in olive oil, searing both sides quickly on a flat cast iron griddle while the pasta cooks and then folding into the flavored oil. It's better to pull the pasta out of the water with tongs, if using spaghetti, or a spider for short pasta and add immediately to flavored oil so it doesn't stand in a colander and stiffen. Locatelli will stand up better to these flavors.",comment,1224131,19,"

Here's a comment from NYT Cooking:Suggest tossing unsalted thick zucchini slices or batons in olive oil, searing both sides quickly on a flat cast iron griddle while the pasta cooks and then folding into the flavored oil. It's better to pull the pasta out of the water with tongs, if using spaghetti, or a spider for short pasta and add immediately to flavored oil so it doesn't stand in a colander and stiffen. Locatelli will stand up better to these flavors.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"This is one of those recipes that I read and think “how good can that be?” But I had all of the ingredients, so it became dinner.  The dish was stunning - really.  
The recipe is simple, but for this cook, not easy, but well worth the effort to make something stand out.  We altered the recipe only for garlic tolerance and heat tolerance.
Try it with all of that summer zucchini and the spaghetti in your pantry and the good olive oil.  I think you’ll be glad you did.",comment,51432224,13,"

Here's a comment from NYT Cooking:This is one of those recipes that I read and think “how good can that be?” But I had all of the ingredients, so it became dinner.  The dish was stunning - really.  
The recipe is simple, but for this cook, not easy, but well worth the effort to make something stand out.  We altered the recipe only for garlic tolerance and heat tolerance.
Try it with all of that summer zucchini and the spaghetti in your pantry and the good olive oil.  I think you’ll be glad you did.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"We LOVED this dish! Made it pretty close to the recipe, just substituted dried Ancho peppers. The variety in the texture of all the ingredients added a wonderful dimension to a simple dish. Can’t wait to serve this to friends.",comment,57105758,7,"

Here's a comment from NYT Cooking:We LOVED this dish! Made it pretty close to the recipe, just substituted dried Ancho peppers. The variety in the texture of all the ingredients added a wonderful dimension to a simple dish. Can’t wait to serve this to friends.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"If you want to get maximum flavor out of every ingredient in this dish, steep the garlic (and some chili flakes or thinly sliced red peppers, if using.) This technique lets the garlic and chili aromatics fully permeate the oil, adding a delicious dimension that is lacking in a hastily prepared dish. As a second step, I would salt and let those wet zucchini batons weep out for the same period of time, then squeeze them as dry as possible before frying on their own. The proceed with the recipe.",comment,58727511,6,"

Here's a comment from NYT Cooking:If you want to get maximum flavor out of every ingredient in this dish, steep the garlic (and some chili flakes or thinly sliced red peppers, if using.) This technique lets the garlic and chili aromatics fully permeate the oil, adding a delicious dimension that is lacking in a hastily prepared dish. As a second step, I would salt and let those wet zucchini batons weep out for the same period of time, then squeeze them as dry as possible before frying on their own. The proceed with the recipe.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"I retract ""Return the pasta to the pot to evaporate residual moisture? What about finishing the pasta in the sauce instead?"" Misread the recipe",comment,36309416,5,"

Here's a comment from NYT Cooking:I retract ""Return the pasta to the pot to evaporate residual moisture? What about finishing the pasta in the sauce instead?"" Misread the recipe

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),"Don’t understand why we pat the zucchini dry and then add pasta water to the pot minutes later. Also, use a larger pot than you may think - we had zucchini flying all over the place once the pasta was thrown back in! Thank you - healthy and delicious.",comment,20737222,4,"

Here's a comment from NYT Cooking:Don’t understand why we pat the zucchini dry and then add pasta water to the pot minutes later. Also, use a larger pot than you may think - we had zucchini flying all over the place once the pasta was thrown back in! Thank you - healthy and delicious.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_flawed_due_to_technique_or_equipment
0,Eric Kim,https://cooking.nytimes.com/recipes/782421389-spaghetti-aglio-olio-with-zucchini,Spaghetti Aglio Olio With Zucchini Recipe,5(60),Including the stems with the parsley is too intense.  Recommend not including.,comment,49195181,1,"

Here's a comment from NYT Cooking:Including the stems with the parsley is too intense.  Recommend not including.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_flawed_due_to_flavor
