index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations,prompt,ai_guess
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,"Are these yams grown in the US?  Or are they Imported from other poorer countries making them more expensive for the locals there?

Why not focus on local recipes with local ingredients?",comment,15672712,2,"

Here's a comment from NYT Cooking:Are these yams grown in the US?  Or are they Imported from other poorer countries making them more expensive for the locals there?

Why not focus on local recipes with local ingredients?

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,"Africans I knew back when I was in college would typically make fufu with instant mashed potatoes, kosher potato starch, and a whole lot of elbow grease. It was a nice stand in with thinner soups, but I was pleasantly surprised when I had the opportunity to taste a more authentic version made with yucca root flour.",comment,70895960,0,"

Here's a comment from NYT Cooking:Africans I knew back when I was in college would typically make fufu with instant mashed potatoes, kosher potato starch, and a whole lot of elbow grease. It was a nice stand in with thinner soups, but I was pleasantly surprised when I had the opportunity to taste a more authentic version made with yucca root flour.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_inauthentic
1,Yewande Komolafe,https://cooking.nytimes.com/recipes/782245682-iyan-yam-swallow,No title found,No rating found,I would be very interested in having Yewande provide some guidance on making swallows from the tropical Ulu breadfruit. I have incorporated it into many different dishes from savory to sweet desserts. NYT times recently published a recipe featuring Ulu: Mashed Ulu with Passion Fruit Chutney. I did make it per recipe and enjoyed it.,comment,175474398,0,"

Here's a comment from NYT Cooking:I would be very interested in having Yewande provide some guidance on making swallows from the tropical Ulu breadfruit. I have incorporated it into many different dishes from savory to sweet desserts. NYT times recently published a recipe featuring Ulu: Mashed Ulu with Passion Fruit Chutney. I did make it per recipe and enjoyed it.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"It’s great to see this getting some attention, but, at least in Malawi, the corn flour variation is nsima, not nsmia. —Peace Corps Malawi Alum",comment,75708303,5,"

Here's a comment from NYT Cooking:It’s great to see this getting some attention, but, at least in Malawi, the corn flour variation is nsima, not nsmia. —Peace Corps Malawi Alum

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_inauthentic
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"So happy to see this here! 
Looking forward to a recipe for sukuma wiki to go with it (hint hint)!",comment,59647338,2,"

Here's a comment from NYT Cooking:So happy to see this here! 
Looking forward to a recipe for sukuma wiki to go with it (hint hint)!

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),How does step 5 work on an induction burner?,comment,288630348,1,"

Here's a comment from NYT Cooking:How does step 5 work on an induction burner?

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"Do you pour soup around this and eat it like a dumpling, or break it off and eay it with your hands, dipping in soup?",comment,172813904,1,"

Here's a comment from NYT Cooking:Do you pour soup around this and eat it like a dumpling, or break it off and eay it with your hands, dipping in soup?

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),"If you can find it, use whole grain white corn flour. The flavor is more complex and it’s healthier than the more processed white flour.",comment,87069514,1,"

Here's a comment from NYT Cooking:If you can find it, use whole grain white corn flour. The flavor is more complex and it’s healthier than the more processed white flour.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),Super cool,comment,297213788,0,"

Here's a comment from NYT Cooking:Super cool

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
3,Yewande Komolafe,https://cooking.nytimes.com/recipes/782240874-ugali-white-corn-swallow,Ugali (White Corn Swallow) Recipe,(0),So cool to see this recipe in the NYT!,comment,68727602,0,"

Here's a comment from NYT Cooking:So cool to see this recipe in the NYT!

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
