index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,....and the egg discussion - geez.  It's clear - 8 yolks. 2 whites.,comment,69751788,43,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I find that mixing the milks takes more like 50 minutes. Also every time I try to add the port I get a brown soupy meringue and have a very hard time getting it fluffy. When I’ve just done sugar and egg white and skipped the port I get a passable merengue and the dish still passes snuff for my husband-this is his favorite dessert.,comment,72918469,30,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I've never seen a recipe that tells you to determine when something is whisked enough by measuring the temperature of the inside base of the mixing bowl. There must be another way to tell. Peaks? Stiffness?,comment,48034331,27,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Does it use 8 or 10 egg whites--I don't understand the instructions.,comment,31895565,24,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"First of all, the recipe is clear as day - 8 yolks and 2 egg whites.

You can confirm this with some general knowledge of cookery. 8 or 10 whites would make an insane amount of meringue. And egg whites have no place in a custard. 

Furthermore, the egg whites are not raw - they are turned into an Italian meringue with the addition of the hot syrup.",comment,75095722,22,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I think a little lemon juice added to the custard would balance the richness of this recipe.,comment,8223550,21,thinks_recipe_is_flawed_due_to_flavor,3,120,negative,Didn't like recipe due to flavor
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Just for the record, uncooked eggs are not safe.  Ms Morales should have mentioned ths. It's true, the risk is low, but why take any risk when there are so many safe recipes.",comment,76381260,15,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I believe this recipe calls for a total of eight eggs separated with two of the whites retained for the merangue.,comment,10924140,6,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"The directions are perfectly clear. Use 8 egg yolks for the custard, use 2 of egg whites for the meringue leaving 6 egg whites for another use: ie pavlova, egg white omelette etc etc",comment,56485940,6,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Made this exactly as directed. It took 50 mins to even start thickening on the stove. After refrigerating, it did not set.",comment,22754768,5,thinks_recipe_is_flawed_due_to_cooking_time,3,120,negative,Thought the cooking times were wrong
