index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
4,Sam Sifton,https://cooking.nytimes.com/recipes/1022309-fluke-au-gratin,Fluke au Gratin Recipe,My fishmonger didn’t have fluke but suggested turbot instead. Sure 5x the price.,comment,65537845,0,thinks_ingredients_hard_to_find,4,"1,174",negative,Thought ingredients were hard to find
7,Sam Sifton,https://cooking.nytimes.com/recipes/1021956-pork-chops-with-onion-gravy,Pork Chops With Onion Gravy Recipe,"What you’re all forgetting is the quality of the pork chops. Supermarket species are dreadful; butcher chops are good if the butcher gets his pork from Canada. But the best—and most expensive are heritage pork. I get heritage breed pork from two local farms. Their flavor is incredible, seriously good and are extremely tender. Once you have it it’s hard to return to lesser grades",comment,65537845,0,maybe_not_about_the_recipe,4,921,neutral,Off-topic
15,Sam Sifton,https://cooking.nytimes.com/recipes/1020771-chinese-roast-pork-on-garlic-bread,Chinese Roast Pork on Garlic Bread Recipe,Would Saucy Susan duck sauce work?  In the 50s my mother used it on everything.  Does it still exist?  I make a pork tenderloin with a gussie up char sui glaze. Delish,comment,65537845,1,question,4,462,neutral,Commenter asking a question
19,Sam Sifton,https://cooking.nytimes.com/recipes/1020510-7up-cake,7Up Cake Recipe,"I came across this recipe when a friend clipped the recipe from a newspaper in Gettysburg, PA showcasing comedienne jean Robertson's 7-up Pound Cake.  Google it for the original recipe.  The measurement for shortening is missing but it's a 1/2 cup.  I finish it with a confectioner's sugar glaze, about 1 1/2 cups with a few tablespoons of 7 up or milk..  It's a delicious cake. I also make a fresh strawberry pie using 7-up or Sprite.  See the www.thegoldendish.com for recipe.",comment,65537845,1,positive_user_describing_changes,4,"1,243",positive,Liked recipe but made changes
15,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1027335-boozy-apple-crunch-cake,Boozy Apple Crunch Cake Recipe,Disappointing. Dry!,comment,65537845,0,thinks_recipe_is_flawed_due_to_cooking_time,5,498,negative,Thought the cooking times were wrong
25,Vaughn Vreeland,https://cooking.nytimes.com/recipes/1026350-laminated-pie-dough,Laminated Pie Dough Recipe,If you want extra flaky pie dough use half lard and butter. Fresh rendered lard from a butcher or farmers market is the type of lard to use. Supermarket lard should be avoided,comment,65537845,15,positive_user_describing_changes,5,253,positive,Liked recipe but made changes
3,Lisa Donovan,https://cooking.nytimes.com/recipes/1027385-pommes-dauphinoises-creamy-potato-gratin,Pommes Dauphinoises (Creamy Potato Gratin) Recipe,I’ve made the same gratin for years from my well worn cookbook “The Secrets of Great French Restaurants. “. Gently bring potatoes cut half inch thick and to a simmer then add heavy cream. Coon until potatoes are somewhat tender but still firm enough. Rub a gratin dishwith cut clove of garlic and butter. Add potatoes and milk mixture. Season with salt and pepper and nutmeg. Add grated Gruyère and bake until crusty and bubbly. Delicious. Great with roast lamb and  vs if peas,comment,65537845,36,positive_user_describing_changes,5,448,positive,Liked recipe but made changes
4,Lisa Donovan,https://cooking.nytimes.com/recipes/1027222-lemon-berry-quick-cake,Lemon Berry Quick Cake Recipe,Great cake,comment,65537845,4,positive_user_made_as_written,5,501,positive,Liked recipe and prepared as written
4,Lisa Donovan,https://cooking.nytimes.com/recipes/1027222-lemon-berry-quick-cake,Lemon Berry Quick Cake Recipe,I just bought some very expensive olive oil from Fiore. A cup of  olive seems like a lot and expensive. Also seems a waste to bury the berries in a cake as opposed to keeping them lightly cooked  or uncooked in a pie or cobbler,comment,65537845,3,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,501,negative,Didn't like recipe due to technique or equipment
4,Lisa Donovan,https://cooking.nytimes.com/recipes/1027222-lemon-berry-quick-cake,Lemon Berry Quick Cake Recipe,"This was really good. I used frozen berries, a mix of blueberries and blackberries) and had no issue with the berries leaking into the batter l.",comment,65537845,1,positive_user_describing_changes,5,501,positive,Liked recipe but made changes
